Name,Walk,Open,Close,Nationality,Profile,Follower
Lara Mullen,46,1,2,United Kingdom,{},13.37 K
Rebecca Leigh Longendyke,46,0,1,United States,{},31.91 K
Steinberg ,46,2,3,Russia,"{'Hair': 'Black', 'Eyes': 'Green', 'Height (cm)': '180', 'Hips (cm)': '86'}",49.13 K
Felice Nova Noordhoff,45,0,3,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue', 'Height (cm)': '178', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8.5'}",17.36 K
Sora Choi,45,0,2,South Korea,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '179', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '9'}",246.34 K
Hannah Motler,44,0,0,United Kingdom,"{'Hair': 'Blonde', 'Eyes': 'Blue'}",18.87 K
Cyrielle Lalande,42,0,0,France,{},2.27 K
Maike Inga,41,2,0,Germany,{},9.37 K
Adut Akech,40,4,5,South Sudan,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84'}",650.87 K
Anok Yai,40,2,1,"United States, South Sudan",{},355.49 K
Bente Oort,40,2,3,Netherlands,"{'Hair': 'Blonde', 'Eyes': 'Blue'}",14.64 K
Alina Bolotina,39,0,0,Russia,{},3.31 K
Blesnya Minher,39,0,1,Angola,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '176', 'Bust (cm)': '79', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",29.87 K
Fran Summers,37,2,2,United Kingdom,{},66.39 K
Hyun Ji Shin,37,0,0,None,{},67.82 K
Kyla Ramsey,37,0,0,Jamaica,{},3.24 K
Lina Zhang,37,1,1,China,{},
Aliet Sarah,36,0,1,"South Sudan, Uganda","{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '177.8', 'Bust (cm)': '84', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '10'}",10.87 K
Giselle Norman,36,1,0,None,{},12.49 K
Sara Grace Wallerstedt,36,1,1,United States,{},61.35 K
Yilan Hua,36,0,1,China,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '180', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '86', 'Shoe (us)': '8'}",4.57 K
Chai Maximus,35,2,0,Belgium,{},2.15 K
Faretta ,34,0,0,Croatia,{},76.36 K
He Cong,34,0,0,China,{},84.67 K
Hiandra Martinez,34,1,0,Dominican Republic,{},21.89 K
Annibelis Baez,33,1,1,Dominican Republic,{},6.42 K
Kateryna Zub,33,2,3,Ukraine,{'Hair': 'Blonde'},3.88 K
Achenrin Madit,32,1,0,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '178', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '84', 'Shoe (us)': '7'}",1.52 K
Deirdre Firinne,32,1,1,Netherlands,{},3.24 K
Mona Tougaard,31,3,2,Denmark,"{'Hair': 'Brown', 'Eyes': 'Brown', 'Height (cm)': '179.5'}",10.16 K
Naomi Chin Wing,31,0,0,Trinidad and Tobago,"{'Hair': 'Brown', 'Eyes': 'Brown'}",19.37 K
Tessa Bruinsma,31,2,1,Netherlands,"{'Hair': 'Brown', 'Eyes': 'Blue/Green', 'Height (cm)': '181', 'Bust (cm)': '76', 'Waist (cm)': '58', 'Hips (cm)': '89', 'Shoe (us)': '9'}",3.68 K
Ajok Madel,30,0,3,None,"{'Hair': 'Black', 'Eyes': 'Brown', 'Height (cm)': '177.8', 'Bust (cm)': '81', 'Waist (cm)': '61', 'Hips (cm)': '86', 'Shoe (us)': '9'}",5.08 K
Ilya Vermeulen,30,0,0,Netherlands,{},1.38 K
